"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ASHGV40034121",-1.39287043716667,3.45672949741667,-6.25095352699875,5.09807643566409e-05,0.00112231246901142,1.96988731147124
"ASHGV40059907",-1.20240661916667,7.09826664725,-6.24515440736428,5.14123226763194e-05,0.00112815015426095,1.96113888711529
"ASHGV40012376",2.079856684,6.99418202933333,6.24320760813364,5.15580697737583e-05,0.00113012918458112,1.95820092757191
"ASHGV40056929",-1.19953606133333,5.58070127316667,-6.22937621496427,5.2606302181157e-05,0.00114897887770327,1.93731229407307
"ASHGV40047555",1.30137346366667,3.429419039,6.22908867166549,5.2628333258374e-05,0.00114901443695265,1.93687775075395
"ASHGV40046486",2.33733504066667,4.72318450566667,6.22850549280637,5.26730455851904e-05,0.00114920269352544,1.93599639911545
"ASHGV40039256",-1.08476169966667,3.1849718995,-6.22684573505098,5.28005206187197e-05,0.00115157218378726,1.93348776380062
"ASHGV40016595",-1.84283822033333,4.86535902216667,-6.22568440616474,5.28899098249545e-05,0.00115310963099608,1.9317322464439
"ASHGV40055302",-1.5511417225,4.08777074191667,-6.222602641507,5.31278994404905e-05,0.00115602358863277,1.92707279055566
"ASHGV40029975",1.44102667166667,11.6502430108333,6.21641660583179,5.36090632174185e-05,0.00116409963089143,1.9177158127001
"ASHGV40010392",2.63300852666667,10.405643845,6.21639439715222,5.36107989891932e-05,0.00116409963089143,1.91768221021057
"ASHGV40044286",-1.1450608565,8.92251446691667,-6.2156800859636,5.36666595744103e-05,0.00116422119938458,1.91660139596386
"ASHGV40044356",1.50916193633333,8.0586175765,6.21357864649663,5.38313558374942e-05,0.00116654994979661,1.91342132053238
"ASHGV40000456",1.44158044616667,3.86199971975,6.21221798428426,5.3938281916216e-05,0.00116845215323222,1.91136191985335
"ASHGV40059645",-1.46426888116667,4.76634408475,-6.21017716473118,5.40990812880723e-05,0.00116944468172984,1.90827259276235
"ASHGV40036376",2.72221764383333,4.24703946241667,6.20735188056323,5.43225322620445e-05,0.00117178444989714,1.90399479966406
"ASHGV40020465",-1.12540638433333,8.95562543866667,-6.20635681537879,5.44014653838033e-05,0.00117255799325595,1.90248789291698
"ASHGV40044504",1.90409921266667,7.93831746816667,6.20502013799005,5.45076888799547e-05,0.0011737040247743,1.90046343587058
"ASHGV40021741",1.05686471366666,6.7145888395,6.20102832683001,5.48262271094345e-05,0.0011784838616154,1.89441616227179
"ASHGV40042267",-1.12802781633333,7.60307592233333,-6.19705957751598,5.51448893145196e-05,0.0011834269798104,1.88840159879451
"ASHGV40006075",-1.01079421433333,3.7527557295,-6.19695691757795,5.51531582751175e-05,0.0011834269798104,1.88824599016556
"ASHGV40052009",1.723776553,9.79448478316667,6.19121366290319,5.56178687435446e-05,0.00119130390389823,1.87953818278526
"ASHGV40040607",-1.077409149,8.191944001,-6.1892649932699,5.57764887478824e-05,0.00119317580901278,1.87658259227905
"ASHGV40038542",-1.08516365283333,8.57717115291667,-6.18761587496361,5.59111015525863e-05,0.00119512008385292,1.87408091957979
"ASHGV40045046",-1.91107305483333,4.50761873225,-6.18758604605543,5.59135395811498e-05,0.00119512008385292,1.87403566631414
"ASHGV40046176",2.01093717583333,3.95077123308333,6.18037747411895,5.65060527762557e-05,0.00120525178770298,1.8630959035619
"ASHGV40011850",-1.14757569233333,4.54460131733333,-6.17928175568058,5.65966993398609e-05,0.00120634194219898,1.86143239437055
"ASHGV40013290",1.608982861,4.45629780783333,6.17632838720462,5.68417968327768e-05,0.00120945390862042,1.85694777528227
"ASHGV40015662",-1.5245103325,4.23617681308333,-6.16956185215223,5.74076130662385e-05,0.00121979184531829,1.84666831473886
"ASHGV40053672",1.1912999415,5.30771087875,6.16274838060779,5.79834122059065e-05,0.00122903082544399,1.83631102179507
"ASHGV40049936",-1.5120683865,5.25167498408333,-6.15998652986457,5.82185603041267e-05,0.00123292461103007,1.83211081161168
"ASHGV40059122",-1.36453250366667,4.52372093066667,-6.1597195681264,5.82413435309418e-05,0.00123292461103007,1.83170476033607
"ASHGV40053197",1.412552898,7.03980831133333,6.15580766960298,5.85762853127759e-05,0.00123772826694143,1.82575357266674
"ASHGV40019499",1.114576889,5.32676459633333,6.15231033448942,5.88774666155308e-05,0.0012436616555023,1.82043123299555
"ASHGV40054233",1.5622242615,3.79750450225,6.14952711716561,5.91183269172639e-05,0.00124786923759319,1.81619442321482
"ASHGV40058370",1.48666539833333,4.17234555166667,6.14245755193202,5.97348532149705e-05,0.00125674259936642,1.80542771439333
"ASHGV40010850",-1.32339006016667,3.50457551625,-6.14235466834819,5.97438758646106e-05,0.00125674259936642,1.80527097406884
"ASHGV40036615",-1.831757569,4.89413855466667,-6.13938448490904,6.00049799592184e-05,0.00126127770243867,1.80074533631895
"ASHGV40013407",-1.04220165183333,5.21882392308333,-6.1381859143326,6.01106878498578e-05,0.00126228307479344,1.79891873388723
